registration_date,total_usage_time,pets,carpet_score,sent_for_repair,failure_date,battery_status,impact_status,ir_status,had_failure,time_to_failure,type_of_failure
2016-11-25,3012,1,1,1,2019-06-12,2,1,2,1,929,Impact
2016-12-11,2657,1,3,1,2019-05-19,2,1,2,1,889,Impact
2016-12-13,2402,1,3,1,2019-11-06,2,1,2,1,1058,Impact
2016-12-21,1671,1,2,1,2019-08-13,2,1,2,1,965,Impact
2017-01-12,2362,1,1,1,2019-10-22,2,1,2,1,1013,Impact
2017-01-12,2401,1,2,1,2019-12-06,2,1,2,1,1058,Impact
2017-01-20,2512,1,1,1,2019-03-10,2,1,2,1,779,Impact
2017-02-14,2841,1,1,1,2019-09-01,2,1,2,1,929,Impact
2017-02-22,2859,1,2,1,2019-11-14,2,1,2,1,995,Impact
2017-02-26,2647,1,3,1,2019-08-24,2,1,2,1,909,Impact
2017-03-16,1961,1,2,1,2019-07-12,2,1,2,1,848,Impact
2017-03-22,2377,1,2,1,2019-11-16,2,1,2,1,969,Impact
2017-03-27,2144,1,2,1,2019-09-24,2,1,2,1,911,Impact
2017-04-07,2581,1,5,1,2019-08-15,2,1,2,1,860,Impact
2017-04-18,3290,1,2,1,2019-12-08,2,1,2,1,964,Impact
2017-05-04,2747,1,2,1,2019-12-06,2,1,2,1,946,Impact
2017-05-11,2822,1,3,1,2019-04-22,2,1,2,1,711,Impact
2017-06-09,2103,1,2,1,2019-09-27,2,1,2,1,840,Impact
2017-06-17,2219,1,2,1,2019-11-17,2,1,2,1,883,Impact
2017-09-21,2308,1,4,1,2019-11-22,2,1,2,1,792,Impact
2018-01-14,2209,1,1,1,2019-12-21,2,1,2,1,706,Impact
